who_id,spatial_type,country_code,region,sex,prevalence,ci_low,ci_high,year
8790376,Country,BRA,Americas,Female,32.878414,20.009174,48.075943,2000
8790819,Country,BLZ,Americas,Both sexes,33.790375,17.660906,52.869987,2003
8790983,Country,SAU,Eastern Mediterranean,Male,50.108086,39.778652,60.37199,2005
8791588,Country,COK,Western Pacific,Male,44.860077,33.351551,56.764973,2005
8792086,Country,ALB,Europe,Both sexes,21.753124,9.9221144,38.274734,2013
8792484,Country,NOR,Europe,Female,36.043999,23.822083,49.174023,2010
8793661,Country,BDI,Africa,Male,13.927887,3.3716018,34.18362,2020
8793903,Country,GIN,Africa,Male,13.73612,2.7338271,34.949287,2022
8794532,Country,VNM,Western Pacific,Male,19.107334,14.167436,24.49337,2011
8796503,Country,SSD,Africa,Female,18.925209,2.5866692,49.879425,2022
8796901,Country,GBR,Europe,Female,41.72514,29.470718,54.495548,2000
8798024,Country,MAR,Eastern Mediterranean,Female,27.634018,16.20825,41.347748,2009
8799202,Country,NPL,South-East Asia,Both sexes,8.2990828,5.0526967,12.48506,2021
8799651,Country,ARE,Eastern Mediterranean,Female,66.761894,57.373203,75.270981,2013
8803180,Country,UZB,Europe,Male,23.763062,15.445089,33.908081,2020
8803482,Country,MDA,Europe,Male,12.613365,7.9286337,18.33243,2016
8804058,Country,AND,Europe,Female,28.305981,6.9058619,60.812305,2022
8804147,Country,CPV,Africa,Female,33.114841,23.448885,43.833027,2012
8804319,Country,GNQ,Africa,Both sexes,23.65336,10.686652,41.381737,2003
8809017,Country,CRI,Americas,Both sexes,42.151588,28.539499,56.81625,2001
8809935,Country,MKD,Europe,Both sexes,22.462807,11.187181,36.512817,2004
8810561,Country,GRD,Americas,Male,24.120626,13.903356,36.797298,2007
8810793,Country,CZE,Europe,Female,24.244747,18.255049,30.969282,2013
8811283,Country,ITA,Europe,Female,46.745926,38.444641,55.185581,2011
8811630,Country,SYC,Africa,Female,20.838898,13.019605,29.87742,2012
8812705,Country,ARG,Americas,Male,36.311295,25.20566,48.16206,2020
8813300,Country,FRA,Europe,Male,30.291426,24.475418,36.480949,2007
8813599,Country,ETH,Africa,Both sexes,13.024829,8.7494326,18.320354,2004
8813932,Country,BRB,Americas,Both sexes,37.320812,27.991463,46.9277,2006
8814339,Country,LVA,Europe,Both sexes,19.365244,13.423729,26.202917,2005
8817385,Country,NPL,South-East Asia,Male,10.245381,5.5440526,16.510386,2020
8817767,Country,VCT,Americas,Both sexes,29.104713,19.84034,39.283165,2018
8817988,Country,MWI,Africa,Female,15.736972,9.2000771,24.431868,2003
8820006,Country,MLT,Europe,Female,57.795067,42.307446,72.095459,2003
8820046,Region,AFR,,Both sexes,18.754705,16.116865,22.003695,2013
8820840,Country,GIN,Africa,Female,19.330044,3.2254777,46.972214,2020
8821742,Country,SLV,Americas,Both sexes,38.347881,26.400074,50.743355,2020
8821954,Country,YEM,Eastern Mediterranean,Female,24.850977,6.1060643,54.164051,2001
8822501,Country,ISL,Europe,Male,24.239782,7.1013899,49.608158,2020
8822725,Country,POL,Europe,Both sexes,28.317175,22.860081,34.092178,2010
8823544,Country,IND,South-East Asia,Male,33.026062,24.479725,42.194721,2014
8823710,Country,BRB,Americas,Both sexes,35.152248,23.68951,48.022717,2001
8824565,Country,GNQ,Africa,Male,19.55772,5.5560393,41.813477,2000
8824877,Country,GBR,Europe,Female,36.62294,27.795628,45.797161,2005
8825210,Country,HRV,Europe,Female,23.885628,16.96549,31.831793,2016
8826303,Country,KHM,Western Pacific,Female,14.606185,5.9269557,27.552773,2002
8827223,Country,QAT,Eastern Mediterranean,Male,42.069542,25.521942,60.44289,2001
8828201,Country,MOZ,Africa,Male,7.3799667,2.1592965,17.091026,2017
8828812,Country,ZWE,Africa,Both sexes,19.221878,13.012023,26.811155,2005
8828903,Country,SLE,Africa,Female,19.344168,10.520061,30.13872,2010
8830513,Country,USA,Americas,Female,36.833591,30.953222,42.774197,2010
8830826,Country,BHR,Eastern Mediterranean,Female,38.982983,15.72406,66.415718,2012
8831178,Country,NRU,Western Pacific,Female,42.839958,22.719746,64.277061,2022
8831638,Country,BDI,Africa,Both sexes,16.999811,7.0935087,32.355915,2003
8832620,Country,ARM,Europe,Male,25.659803,15.66259,37.380573,2016
8833853,Country,TKM,Europe,Female,14.896801,7.7371159,24.066847,2014
8834838,Global,GLOBAL,,Female,26.330515,23.115881,29.684258,2003
8835171,Country,CMR,Africa,Female,22.514387,5.7881546,48.053875,2015
8835453,Country,SSD,Africa,Female,19.500216,5.268384,42.714836,2012
8835942,Country,JOR,Eastern Mediterranean,Both sexes,27.741018,22.410505,33.343399,2012
8836480,Country,NRU,Western Pacific,Female,45.940456,32.784607,59.472179,2004
8836539,Country,AFG,Eastern Mediterranean,Female,46.025105,28.503967,63.832031,2022
8836942,Country,NAM,Africa,Both sexes,32.392197,22.97047,42.805637,2009
